symbol,signal_timestamp,signal_close,entry_next_open,ema_3,ema_8,ema_21,ema_50,rsi_14,macd,macd_signal,rel_volume,atr_pct,price_acceleration,persistence_bars,signal_score,signal_status,forward_1d,forward_3d,forward_5d,forward_10d,mfe_5d,mae_5d,complete_10d,outcome
AAPL,2026-03-26 04:00:00+00:00,252.87,253.9,252.35414247104188,252.34124389546105,255.83653178346043,260.1056350905929,41.94124817386181,-3.5145785070112368,-3.369391289266938,1.1623610440194738,1.9684027365840155,-0.0023469767492647,1,20,EARLY,-0.0204805041354865,-0.000669554942891,0.007837731390311,0.0257187869239858,0.0087632926348955,-0.032886963371406,True,FLAT
AAPL,2026-04-01 04:00:00+00:00,255.43,254.19,253.30338390444007,252.13127977335805,254.45310756332245,258.80079819001475,48.94933571448448,-2.870167648968703,-3.3587481203041065,1.0880401578547874,2.001946297839497,-0.0217127401453069,1,30,EARLY,0.0066879106180415,-0.0023604390416617,0.0245879066839764,0.0359376844093,0.0313151579527124,-0.0334002124395137,True,POSITIVE
AAPL,2026-07-01 04:00:00+00:00,294.42,294.085,290.1161565067456,289.32197252426914,292.8608107917412,289.7640796022763,51.18854645608928,-2.347158081983196,-1.0849275157751044,1.1140536195495392,2.8260162838316503,-0.0088935104970941,1,40,EARLY,0.0481153408028292,0.0564632674226839,0.0750633320298554,0.1331077749630209,0.0763214716833569,-0.0006630736011696,True,STRONG_POSITIVE
AAPL,2026-08-19 04:00:00+00:00,316.9,317.455,312.38719225993907,310.1080310887388,312.5050159687968,309.26943941760163,53.95020335082668,-1.6846483580486051,-0.9648665683059264,0.9056914420218708,2.614840192940544,0.0069918800872654,1,45,EARLY,-0.0194200752862608,-0.0222708730371233,,,0.0088988990565592,-0.0327920492668251,False,INCOMPLETE
MSFT,2026-04-06 04:00:00+00:00,372.75,370.345,371.6443961482913,371.5482866893219,381.3081008692659,401.4133020806352,39.03852767632712,-10.703218561734277,-10.924403738546848,0.5960342379457233,2.173229855322411,-0.0129966958717595,1,30,EARLY,0.0055488800982865,0.0071419892262618,0.0377620867029391,0.1289743347419298,0.0395442087783013,-0.0101121926851989,True,STRONG_POSITIVE
MSFT,2026-04-13 04:00:00+00:00,384.33,387.605,378.15388737963406,374.8214925635901,379.0623499197558,396.6504488457851,51.52955867911985,-6.81606987042295,-9.161894592791985,1.255973956306586,2.319528232805885,0.0418673370183052,2,60,CONFIRMING,0.0139704080184723,0.0838869467628127,0.0787012551437675,0.0963738857857869,0.1134531288296074,-0.0026186452703139,True,STRONG_POSITIVE
MSFT,2026-05-07 04:00:00+00:00,420.79,417.385,417.093692985105,416.4417472786704,410.88484333857895,407.62648650974376,57.8320719883872,6.385290637769572,7.2652052515340895,0.7644498213363592,2.793385231180804,0.0107895382078895,1,60,EARLY,-0.0057980042406891,-0.0230362854438948,-0.019035183343915,0.0038693292763276,0.0028391053823209,-0.0394599710099787,True,FLAT
MSFT,2026-05-15 04:00:00+00:00,422.0,416.4,415.3771670778922,413.6298199717152,411.4658342211072,408.5741316769616,57.93379685215685,3.385570313685605,4.700746446015962,1.2930054957010966,2.693381855111712,0.0199376908904529,1,75,EARLY,0.0173150816522575,0.0112391930835735,0.0050432276657061,0.1058597502401537,0.039085014409222,-0.0122238232468779,True,FLAT
MSFT,2026-05-28 04:00:00+00:00,426.97,432.685,421.0422545588981,418.7562042133885,415.6934500235645,411.5400130075906,59.31403349933576,3.4868367500630484,3.7164171603477216,1.5034707367229396,2.4361029045198883,0.0426753493739456,2,75,CONFIRMED,0.0387233206605266,0.0200261159966257,-0.0106197349110785,-0.0980621006043658,0.0776199775818435,-0.0194252169592198,True,FLAT
MSFT,2026-07-01 04:00:00+00:00,384.38,384.35,377.2895332577532,375.1098791109723,386.8513938469471,398.7665026077102,47.00286110400071,-11.742072991623786,-11.287744300772143,1.227844632782091,3.396378583693221,0.0187770711119712,1,40,EARLY,0.0141537660986079,0.0114218810979576,-0.0002861974762586,0.0436321061532456,0.0290620528164431,-0.0282945232210225,True,FLAT
