universe_version,symbol,active,frozen_date
S&P100_FROZEN_2026-08-26_CORRECTED,AAPL,True,2026-08-26
S&P100_FROZEN_2026-08-26_CORRECTED,ABBV,True,2026-08-26
S&P100_FROZEN_2026-08-26_CORRECTED,ABT,True,2026-08-26
S&P100_FROZEN_2026-08-26_CORRECTED,ACN,True,2026-08-26
S&P100_FROZEN_2026-08-26_CORRECTED,ADBE,True,2026-08-26
S&P100_FROZEN_2026-08-26_CORRECTED,AMAT,True,2026-08-26
S&P100_FROZEN_2026-08-26_CORRECTED,AMD,True,2026-08-26
S&P100_FROZEN_2026-08-26_CORRECTED,AMGN,True,2026-08-26
S&P100_FROZEN_2026-08-26_CORRECTED,AMT,True,2026-08-26
S&P100_FROZEN_2026-08-26_CORRECTED,AMZN,True,2026-08-26
S&P100_FROZEN_2026-08-26_CORRECTED,AVGO,True,2026-08-26
S&P100_FROZEN_2026-08-26_CORRECTED,AXP,True,2026-08-26
S&P100_FROZEN_2026-08-26_CORRECTED,BA,True,2026-08-26
S&P100_FROZEN_2026-08-26_CORRECTED,BAC,True,2026-08-26
S&P100_FROZEN_2026-08-26_CORRECTED,BK,True,2026-08-26
S&P100_FROZEN_2026-08-26_CORRECTED,BKNG,True,2026-08-26
S&P100_FROZEN_2026-08-26_CORRECTED,BLK,True,2026-08-26
S&P100_FROZEN_2026-08-26_CORRECTED,BMY,True,2026-08-26
S&P100_FROZEN_2026-08-26_CORRECTED,BRK.B,True,2026-08-26
S&P100_FROZEN_2026-08-26_CORRECTED,C,True,2026-08-26
S&P100_FROZEN_2026-08-26_CORRECTED,CAT,True,2026-08-26
S&P100_FROZEN_2026-08-26_CORRECTED,CL,True,2026-08-26
S&P100_FROZEN_2026-08-26_CORRECTED,CMCSA,True,2026-08-26
S&P100_FROZEN_2026-08-26_CORRECTED,COF,True,2026-08-26
S&P100_FROZEN_2026-08-26_CORRECTED,COP,True,2026-08-26
S&P100_FROZEN_2026-08-26_CORRECTED,COST,True,2026-08-26
S&P100_FROZEN_2026-08-26_CORRECTED,CRM,True,2026-08-26
S&P100_FROZEN_2026-08-26_CORRECTED,CSCO,True,2026-08-26
S&P100_FROZEN_2026-08-26_CORRECTED,CVS,True,2026-08-26
S&P100_FROZEN_2026-08-26_CORRECTED,CVX,True,2026-08-26
S&P100_FROZEN_2026-08-26_CORRECTED,DE,True,2026-08-26
S&P100_FROZEN_2026-08-26_CORRECTED,DHR,True,2026-08-26
S&P100_FROZEN_2026-08-26_CORRECTED,DIS,True,2026-08-26
S&P100_FROZEN_2026-08-26_CORRECTED,DUK,True,2026-08-26
S&P100_FROZEN_2026-08-26_CORRECTED,EMR,True,2026-08-26
S&P100_FROZEN_2026-08-26_CORRECTED,FDX,True,2026-08-26
S&P100_FROZEN_2026-08-26_CORRECTED,GD,True,2026-08-26
S&P100_FROZEN_2026-08-26_CORRECTED,GE,True,2026-08-26
S&P100_FROZEN_2026-08-26_CORRECTED,GEV,True,2026-08-26
S&P100_FROZEN_2026-08-26_CORRECTED,GILD,True,2026-08-26
S&P100_FROZEN_2026-08-26_CORRECTED,GM,True,2026-08-26
S&P100_FROZEN_2026-08-26_CORRECTED,GOOG,True,2026-08-26
S&P100_FROZEN_2026-08-26_CORRECTED,GOOGL,True,2026-08-26
S&P100_FROZEN_2026-08-26_CORRECTED,GS,True,2026-08-26
S&P100_FROZEN_2026-08-26_CORRECTED,HD,True,2026-08-26
S&P100_FROZEN_2026-08-26_CORRECTED,HONA,True,2026-08-26
S&P100_FROZEN_2026-08-26_CORRECTED,IBM,True,2026-08-26
S&P100_FROZEN_2026-08-26_CORRECTED,INTC,True,2026-08-26
S&P100_FROZEN_2026-08-26_CORRECTED,INTU,True,2026-08-26
S&P100_FROZEN_2026-08-26_CORRECTED,ISRG,True,2026-08-26
S&P100_FROZEN_2026-08-26_CORRECTED,JNJ,True,2026-08-26
S&P100_FROZEN_2026-08-26_CORRECTED,JPM,True,2026-08-26
S&P100_FROZEN_2026-08-26_CORRECTED,KO,True,2026-08-26
S&P100_FROZEN_2026-08-26_CORRECTED,LIN,True,2026-08-26
S&P100_FROZEN_2026-08-26_CORRECTED,LLY,True,2026-08-26
S&P100_FROZEN_2026-08-26_CORRECTED,LMT,True,2026-08-26
S&P100_FROZEN_2026-08-26_CORRECTED,LOW,True,2026-08-26
S&P100_FROZEN_2026-08-26_CORRECTED,LRCX,True,2026-08-26
S&P100_FROZEN_2026-08-26_CORRECTED,MA,True,2026-08-26
S&P100_FROZEN_2026-08-26_CORRECTED,MCD,True,2026-08-26
S&P100_FROZEN_2026-08-26_CORRECTED,MDLZ,True,2026-08-26
S&P100_FROZEN_2026-08-26_CORRECTED,MDT,True,2026-08-26
S&P100_FROZEN_2026-08-26_CORRECTED,META,True,2026-08-26
S&P100_FROZEN_2026-08-26_CORRECTED,MMM,True,2026-08-26
S&P100_FROZEN_2026-08-26_CORRECTED,MO,True,2026-08-26
S&P100_FROZEN_2026-08-26_CORRECTED,MRK,True,2026-08-26
S&P100_FROZEN_2026-08-26_CORRECTED,MS,True,2026-08-26
S&P100_FROZEN_2026-08-26_CORRECTED,MSFT,True,2026-08-26
S&P100_FROZEN_2026-08-26_CORRECTED,MU,True,2026-08-26
S&P100_FROZEN_2026-08-26_CORRECTED,NEE,True,2026-08-26
S&P100_FROZEN_2026-08-26_CORRECTED,NFLX,True,2026-08-26
S&P100_FROZEN_2026-08-26_CORRECTED,NKE,True,2026-08-26
S&P100_FROZEN_2026-08-26_CORRECTED,NOW,True,2026-08-26
S&P100_FROZEN_2026-08-26_CORRECTED,NVDA,True,2026-08-26
S&P100_FROZEN_2026-08-26_CORRECTED,ORCL,True,2026-08-26
S&P100_FROZEN_2026-08-26_CORRECTED,PEP,True,2026-08-26
S&P100_FROZEN_2026-08-26_CORRECTED,PFE,True,2026-08-26
S&P100_FROZEN_2026-08-26_CORRECTED,PG,True,2026-08-26
S&P100_FROZEN_2026-08-26_CORRECTED,PLTR,True,2026-08-26
S&P100_FROZEN_2026-08-26_CORRECTED,PM,True,2026-08-26
S&P100_FROZEN_2026-08-26_CORRECTED,QCOM,True,2026-08-26
S&P100_FROZEN_2026-08-26_CORRECTED,RTX,True,2026-08-26
S&P100_FROZEN_2026-08-26_CORRECTED,SBUX,True,2026-08-26
S&P100_FROZEN_2026-08-26_CORRECTED,SCHW,True,2026-08-26
S&P100_FROZEN_2026-08-26_CORRECTED,SO,True,2026-08-26
S&P100_FROZEN_2026-08-26_CORRECTED,SPG,True,2026-08-26
S&P100_FROZEN_2026-08-26_CORRECTED,T,True,2026-08-26
S&P100_FROZEN_2026-08-26_CORRECTED,TMO,True,2026-08-26
S&P100_FROZEN_2026-08-26_CORRECTED,TMUS,True,2026-08-26
S&P100_FROZEN_2026-08-26_CORRECTED,TSLA,True,2026-08-26
S&P100_FROZEN_2026-08-26_CORRECTED,TXN,True,2026-08-26
S&P100_FROZEN_2026-08-26_CORRECTED,UBER,True,2026-08-26
S&P100_FROZEN_2026-08-26_CORRECTED,UNH,True,2026-08-26
S&P100_FROZEN_2026-08-26_CORRECTED,UNP,True,2026-08-26
S&P100_FROZEN_2026-08-26_CORRECTED,UPS,True,2026-08-26
S&P100_FROZEN_2026-08-26_CORRECTED,USB,True,2026-08-26
S&P100_FROZEN_2026-08-26_CORRECTED,V,True,2026-08-26
S&P100_FROZEN_2026-08-26_CORRECTED,VZ,True,2026-08-26
S&P100_FROZEN_2026-08-26_CORRECTED,WFC,True,2026-08-26
S&P100_FROZEN_2026-08-26_CORRECTED,WMT,True,2026-08-26
S&P100_FROZEN_2026-08-26_CORRECTED,XOM,True,2026-08-26
